Apartment ID	Bitrix Additional ID	Alma External ID	Alma Additional ID	Ext ID Match	Add ID Match	Has Add ID	Alma Name	Error
436	530	436	530	YES	YES	YES	Ap. 213. Beach Vista Tower 2, apt. 702	
434	528	434	528	YES	YES	YES	Ap. 212. Binghatti Crescent, apt. 516	
426	518	426	518	YES	YES	YES	Ap. 207. Park Ridge Tower C, apt. 312	
402	486	402	486	YES	YES	YES	Ap. 195. Elite Residence, apt. 1909	
398	490	398	490	YES	YES	YES	Ap. 193. Marina Crown, apt. 901	
392	496	392	496	YES	YES	YES	Ap. 190. Bay Central 1, apt. 1909	
390	498	390	498	YES	YES	YES	Ap. 189. Creek Edge Tower 1, apt. 305	
366	458	366	458	YES	YES	YES	Ap. 179. Al Waleed Paradise, apt. 1103	
364	456	364	456	YES	YES	YES	Ap. 178. Indigo Tower, apt. 1215	
358	450	358	450	YES	YES	YES	Ap. 175. J One 1, apt. 1601	
356	448	356	448	YES	YES	YES	Ap. 174. Indigo tower, apt. 1504	
354	446	354	446	YES	YES	YES	Ap. 173. Azizi Berton, apt. 124	
330	420	330	420	YES	YES	YES	Ap. 161. Sky View Tower, apt. 1309	
328	418	328	418	YES	YES	YES	Ap. 160. Goldcrest Executive, apt. 3304	
316	406	316	406	YES	YES	YES	Ap. 154. Zada Tower, apt. 1214	
314	404	314	404	YES	YES	YES	Ap. 153. Jumairah Bay X1-1, apt. 2312	
280	388	280	388	YES	YES	YES	Ap. 136. Ontario tower, apt. 2105	
276	364	276	364	YES	YES	YES	Ap. 135. Equiti Residence, apt. 904	
270	358	270	358	YES	YES	YES	Ap. 132. Candace Aster, apt. 614	
264	350	264	350	YES	YES	YES	Ap. 129. Merano Tower, apt. 2804	
244	330	244	330	YES	YES	YES	Ap. 119. Collective Tower 2, apt. 703	
238	324	238	324	YES	YES	YES	Ap. 116. Marina Vista Tower 2, apt. 2409	
220	308	220	308	YES	YES	YES	Ap. 107. Noor 1, apt. 510	
210	298	210	298	YES	YES	YES	Ap. 102. Armada 3, apt. 1908	
204	294	204	294	YES	YES	YES	Ap. 96. Park Island Bonaire, apt. 2304	
176	262	176	262	YES	YES	YES	Ap. 85. Zada tower, apt. 214	
164	46	164	46	YES	YES	YES	Ap. 83. Creek Gate Tower 1, apt. 2308	
160	42	160	42	YES	YES	YES	Ap. 81. Marina Gate 2, apt. 1708	
156	38	156	38	YES	YES	YES	Ap. 79. Bay Central West, apt. 201	
136	18	136	18	YES	YES	YES	Ap. 69. Park Central, apt. 1405	
108	180	108	180	YES	YES	YES	Ap. 55. Princess, apt. 1707	
106	178	106	178	YES	YES	YES	Ap. 54. Bellevue Towers-1, apt. 1806	
82	154	82	154	YES	YES	YES	Ap. 42. Iris Blue, apt. 2003	
80	152	80	152	YES	YES	YES	Ap. 41. Candace Acacia, apt. 122	
56	120	56	120	YES	YES	YES	Ap. 29. DEC Towers, apt. 2008	
52	116	52	116	YES	YES	YES	Ap. 27. Discovery gardens 38, apt. 401	
46	102	46	102	YES	YES	YES	Ap. 24. Marina Crown, apt. 1512	
42	98	42	98	YES	YES	YES	Ap. 22. Reef Residence, apt. 3305	
28	84	28	84	YES	YES	YES	Ap. 15. Lakeside Residence, apt. 1104	
26	82	26	82	YES	YES	YES	Ap. 14. Goldcrest views 1, apt. 1313	
22	78	22	78	YES	YES	YES	Ap. 12. Escan Marina Tower, apt. 2306	
12	246	12	246	YES	YES	YES	Ap. 07. Lake Terrace. apt. 3604	
1810	1780	1810	1780	YES	YES	YES	Ap. 726. ROYAL OCEANIC-1, apt. 202	
1800	1770	1800	1770	YES	YES	YES	Ap. 728. HAMILTON RESIDENCY, apt. 204	
1788	1758	1788	1758	YES	YES	YES	Ap. 721. BOTANICA TOWER, apt. 1605	
1778	1748	1778	1748	YES	YES	YES	Ap. 718. Peninsula Five - 3, apt. 1304	
1776	1744	1776	1744	YES	YES	YES	Ap. 987. TEST TEST, apt. 00	
1770	1738	1770	1738	YES	YES	YES	Ap. 712. Indigo Tower, apt. 2211	
1768	1736	1768	1736	YES	YES	YES	Ap. 715. Sobha Creek Vistas - Tower B, apt. B906	
1766	1734	1766	1734	YES	YES	YES	Ap. 639. Burj Royal, apt. 5004	
1758	1726	1758	1726	YES	YES	YES	Ap. 708. Luma22 - East Tower, apt. 106	
